No,Category,Guideline,Description,Do,Don't,Code Good,Code Bad,Severity,Docs URL
11,Noise/Texture,PerlinNoise — classic turbulence,"Classic perlin turbulence, two-tone (colorBack + colorFront). Animated (speed). Neutral texture that carries mood without demanding attention. GPU cost: unmeasured.","Good default texture layer for dark themes; keep front/back within one hue family for calm depth; prefers-reduced-motion → speed={0}","Don't pair high-contrast front/back with fast speed — it reads as TV static, not texture","<PerlinNoise colorBack={'#0B0B0E'} colorFront={'#1E3A34'} speed={0.25} />","<PerlinNoise colorBack={'#000'} colorFront={'#fff'} speed={1.5} /> // TV static",Low,https://shaders.paper.design/
12,Noise/Texture,SimplexNoise — posterized bands,"Banded simplex noise; stepsPerColor posterizes the field into discrete bands. Color slots: colors[]. Animated (speed). GPU cost: unmeasured.","Use stepsPerColor 2-4 for a printed/riso feel that matches editorial layouts; prefers-reduced-motion → speed={0}; pin frame in screenshot tests","Don't leave default colors — banded noise makes palette mistakes extra visible since each band is a flat swatch","<SimplexNoise colors={['#0E4F4A','#3E6257','#F4EDE4']} stepsPerColor={3} speed={0.3} />","<SimplexNoise /> // default violet bands = swatch-sized slop",Medium,https://shaders.paper.design/
13,Noise/Texture,NeuroNoise — glowing fiber lattice,"Neural-fiber glow lattice. Color slots: colorBack + colorMid + colorFront. Animated (speed). Signature 'AI product' look — which is exactly the risk. GPU cost: unmeasured.","If the brand is AI-adjacent, deliberately break the cliché: keep glow in brand accent, not cyan/violet; prefers-reduced-motion → speed={0}","Don't combine with dark bg + cyan/violet glow — that exact combination is the most recognizable AI-slop hero of 2024-2026","<NeuroNoise colorBack={'#0B0B0E'} colorMid={'#1E3A34'} colorFront={'#D9A441'} speed={0.3} />","<NeuroNoise colorFront={'#7C3AED'} /> // the default AI-startup hero everyone has",High,https://shaders.paper.design/
14,Noise/Texture,Dithering — retro pixel field,"Ordered-dither retro pixel field, two-tone (colorBack + colorFront). Animated (speed). Strong stylistic commitment — brutalist/terminal moods. GPU cost: unmeasured.","Pair with monospace typography and hard edges so the retro read is intentional; prefers-reduced-motion → speed={0}; pin frame in screenshot tests","Don't drop into an otherwise soft/rounded design system — one retro layer in a soft UI reads as a rendering artifact","<Dithering colorBack={'#0B0B0E'} colorFront={'#33FF66'} speed={0.2} />","<Dithering /> // dither texture floating in a pastel SaaS layout",Medium,https://shaders.paper.design/
15,Light/Glow,GodRays — volumetric light shafts,"Volumetric light shafts from an origin point. Color slots: colorBack + colorBloom + colors[]. Animated (speed). Cinematic — dominates any section it is in. GPU cost: unmeasured.","Anchor the ray origin to a meaningful layout point (logo, product, horizon); prefers-reduced-motion → speed={0}; pin frame in screenshot tests","Don't run rays across body text — moving bright shafts behind glyphs is the single worst text-contrast case in this set; never stack with another animated shader on mobile","<GodRays colorBack={'#0B0B0E'} colorBloom={'#D9A441'} colors={['#1E3A34','#3E6257']} speed={0.3} />","<GodRays /> // default bloom sweeping across a paragraph",High,https://shaders.paper.design/
16,Light/Glow,PulsingBorder — living frame,"Glowing animated border frame. Color slots: colorBack + colors[]. Animated (speed). A containment effect, not a background — outlines cards, CTAs, video frames. GPU cost: unmeasured.","Use on at most one element per screen (the single highest-impact point per SKILL.md Motion rule); prefers-reduced-motion → speed={0}","Don't apply to multiple cards in a grid — competing pulses read as an error state, not emphasis","<PulsingBorder colorBack={'#0B0B0E'} colors={['#D9A441']} speed={0.4} />","<PulsingBorder /> on every card // grid of blinking borders = alarm panel",Medium,https://shaders.paper.design/
17,Geometric/Pattern,DotGrid — static engineering lattice,"Static dot lattice. Color slots: colorBack + colorFill + colorStroke. No speed prop at all — inherently static and deterministic. GPU cost: unmeasured.","Safe default for technical/docs surfaces and prefers-reduced-motion users; align grid spacing with the layout's spacing tokens","Don't use as the only texture on an emotional marketing page — it reads as a blueprint, keep it for engineered moods","<DotGrid colorBack={'#0B0B0E'} colorFill={'#3E6257'} colorStroke={'#1E3A34'} />","<DotGrid colorFill={'#7C3AED'} /> // violet dots for no reason",Low,https://shaders.paper.design/
18,Geometric/Pattern,DotOrbit — dots in motion,"Dots orbiting on a grid. Color slots: colorBack + colors[] (+stepsPerColor). Animated (speed). Data/technology mood with more life than DotGrid. GPU cost: unmeasured.","Use when the section speaks about systems, data, or activity; prefers-reduced-motion → speed={0}; pin frame in screenshot tests","Don't raise orbit speed behind numeric dashboards — moving dots next to digits create false change signals","<DotOrbit colorBack={'#0B0B0E'} colors={['#3E6257','#D9A441']} speed={0.3} />","<DotOrbit speed={1.5} /> // dots racing behind a KPI table",Medium,https://shaders.paper.design/
19,Geometric/Pattern,ColorPanels — angled glass planes,"Angled translucent color panels sliding in perspective. Color slots: colorBack + colors[]. Animated. Editorial/deco mood. GPU cost: unmeasured.","Match panel angles to the layout's diagonal flow (SKILL.md Layout: asymmetry/diagonal encouraged); prefers-reduced-motion → speed={0}; pin frame in screenshot tests","Don't use more than 3-4 panel colors — overlapping translucent panels multiply into unplanned colors","<ColorPanels colorBack={'#0B0B0E'} colors={['#0E4F4A','#D9A441','#F4EDE4']} speed={0.3} />","<ColorPanels colors={['#f00','#0f0','#00f','#ff0','#f0f','#0ff']} /> // translucent chaos",Medium,https://shaders.paper.design/
20,Geometric/Pattern,HalftoneCmyk — print rosette,"CMYK print halftone rosette. Five slots: colorBack + colorC + colorM + colorY + colorK — the only shader with a fixed 5-slot scheme. Static in effect: a speed prop exists but the shader has no u_time uniform, so output never changes over time and every preset ships speed: 0. GPU cost: unmeasured.","Keep the CMYK metaphor honest (print/editorial/zine brands); you may remap C/M/Y/K to brand colors as long as the 4-plate layering stays readable; leave speed at its default 0 — a non-zero value only keeps a RAF loop alive with zero visual change","Don't place behind small text — rosette interference patterns are the busiest texture in this set; don't set speed hoping for motion (the shader ignores time — verified: u_time absent from halftone-cmyk.ts)","<HalftoneCmyk colorBack={'#F4EDE4'} colorC={'#0E4F4A'} colorM={'#D9A441'} colorY={'#E8D5B5'} colorK={'#0B0B0E'} />","<HalftoneCmyk speed={0.2} /> // burns a RAF loop for a shader that ignores time — and default palette",High,https://shaders.paper.design/
21,Geometric/Pattern,Waves — static line relief,"Static wave line pattern, two-tone (colorBack + colorFront). No speed prop at all — inherently static and deterministic. GPU cost: unmeasured.","Use as quiet sectional texture and as the reduced-motion stand-in for fluid shaders (closest static mood match); keep front/back low-contrast for texture, high-contrast for graphic poster use","Don't fake motion by re-rendering with changing props on a timer — if the design needs moving waves that is a different (animated) shader choice, make it explicitly","<Waves colorBack={'#F4EDE4'} colorFront={'#0E4F4A'} />","setInterval(()=>setPhase(p=>p+1),50) // hand-rolled animation around a static shader",Low,https://shaders.paper.design/
